3453484810, Ajit,Ullal,ullalajit@gmail.com,1971-01-01,M,10 Janpath,Bengaluru,560001,ADM_001
6815974590,Muhammed ,Ali,alimihammed@gmail.com,2000-10-09,M,10 Downing,Mangaluru,560003,ADM_002
5483807477,Sai Deepak,Reddy,reddysai@gmail.com,1996-12-12,F,14 Kailsh Marg,Belagavi,600001,ADM_002
9187065308,Rudra,Agarwal,agarwalrudra@gmail.com,1996-12-13,F,5 Lohia Garden,Bengaluru,600042,ADM_001
1700494946,Rahul,Khanna,khannarahul@gmail.com,1997-12-14,M,1 Pink Street,Belagavi,600067,ADM_001
4478160351,Nirmala,Seturaman,seturamannirmala@gmail.com,1998-12-15,F,3 Blue Avenue,Mangaluru,560105,ADM_002
6977990400,Smriti,Irani,iranismriti@gmail.com,1999-12-16,F,4 Banyan Avenie,Mangaluru,575014,ADM_003
7575833003,Ajit,Sethi,sethiajit@gmail.com,1966-04-14,M,6 Poes Garden,Hubbali,575001,ADM_002
8727666988,Arjun,Allu,alluarjun@gmail.com,1967-04-08,M,7 Dhamaka street,Bengaluru,575020,ADM_003
2192227997,Samanta,Prabhu,prabhusamanta@gmail.com,1968-04-14,F,8 Clone Colony,Belagavi,600042,ADM_001
8979106724,Kiran ,Bedi,bedikiran@gmail.com,1969-04-14,F,56 Brigade Road,Bengaluru,560003,ADM_003
6597759624,Rahul ,Gandhi,gandhirahul@gmail.com,1970-04-08,M,Mirza road,Mangaluru,475001,ADM_002
6283738531,Rashkit ,Shetty,shettyrashkit@gmail.com,1971-04-14,M,JC Road,Belagavi,560009,ADM_003
8646892910,Rishi,Sunak,sunakrishi@gmail.com,1972-04-14,M,Anna Sali,Bengaluru,600034,ADM_002
9579531991,Vedavalli,Srinath,srinathvedavalli@gmail.com,1973-04-14,F,Church Street Bangalore,Hubbali,560054,ADM_001
7243413566,Subbu,Saravana,saravanasubbu@gmail.com,1974-04-14,F,American Street,Belagavi,600043,ADM_003
8565854116,Sheela,Dixit,dixitsheela@gmail.com,1975-04-08,F,Kasturba Road,Mangaluru,560048,ADM_001
6107074114,Margaret,Alva,alvamargaret@gmail.com,1976-04-14,F,New BEL Road,Hubbali,560008,ADM_003
3740546453,Arun,Kumar,kumararun@gmail.com,1977-04-14,M,Mint Street,Bengaluru,600046,ADM_003
1637382417,Anshu,Bhardwaj,bhardwajanshu@gmail.com,1978-04-14,F,KSR Road,Hubbali,575001,ADM_003
8808967440,Suma,Sampat,sampatsuma@gmail.com,1979-04-08,F,Old Airport Road Bangalore,Mangaluru,560012,ADM_001
2624574553,Srihari,Udupa,udupasrihari@gmail.com,1980-04-14,M,Suranjan Das Road,Hubbali,560015,ADM_001
8945871085,Satish,Kotian,kotiansatish@gmail.com,1981-04-14,M,T Nagar,Mangaluru,600044,ADM_002
4693726418,Shradha,Nayar,nayarshradha@gmail.com,1982-04-08,F,M G Road Bangalore,Belagavi,560006,ADM_003
