B_001,140,2021-06-07,2021-06-09,2021-06-07,Valid,SHK_001,3453484810
B_002,170,2021-02-14,2021-02-17,2021-02-16,Valid,SHK_001,3453484810
B_003,105,2021-07-13,2021-07-16,2021-07-14,Valid,SHK_003,6815974590
B_004,135,2021-05-24,2021-05-27,2021-05-28,Invalid,SHK_003,6815974590
B_005,170,2021-10-10,2021-10-13,2021-10-10,Valid,SHK_004,5483807477
B_006,55,2021-12-22,2021-12-25,2021-12-24,Valid,SHK_004,5483807477
B_007,70,2021-11-09,2021-11-12,2021-11-10,Valid,SHK_001,9187065308
B_008,115,2021-07-29,2021-08-01,2021-07-29,Valid,SHK_001,9187065308
B_009,170,2021-01-06,2021-01-09,2021-01-09,Valid,SHK_005,1700494946
B_010,45,2021-07-26,2021-07-29,2021-07-30,Invalid,SHK_005,1700494946
B_011,100,2021-05-08,2021-05-11,2021-05-11,Valid,SHK_006,4478160351
B_012,35,2021-07-23,2021-07-26,2021-07-23,Valid,SHK_006,4478160351
B_013,10,2021-07-08,2021-07-11,2021-07-09,Valid,SHK_001,6977990400
B_014,95,2021-08-16,2021-08-19,2021-08-16,Valid,SHK_001,6977990400
B_015,30,2021-10-31,2021-11-03,2021-11-04,Invalid,SHK_005,7575833003
B_016,35,2021-05-06,2021-05-09,2021-05-09,Valid,SHK_005,7575833003
B_017,65,2021-11-29,2021-12-02,2021-11-30,Valid,SHK_002,8727666988
B_018,75,2021-06-09,2021-06-12,2021-06-09,Valid,SHK_002,8727666988
B_019,30,2021-05-02,2021-05-05,2021-05-02,Valid,SHK_006,2192227997
B_020,130,2021-08-19,2021-08-22,2021-08-23,Invalid,SHK_006,2192227997
B_021,40,2021-01-03,2021-01-06,2021-01-03,Valid,SHK_003,8979106724
B_022,40,2021-06-25,2021-06-28,2021-06-28,Valid,SHK_003,8979106724
B_023,30,2021-03-15,2021-03-18,2021-03-17,Valid,SHK_004,6597759624
B_024,35,2021-05-14,2021-05-17,2021-05-14,Valid,SHK_004,6597759624
B_025,170,2021-02-16,2021-02-19,2021-02-19,Valid,SHK_001,6283738531
B_026,170,2021-09-21,2021-09-24,2021-09-22,Valid,SHK_001,6283738531
B_027,25,2021-09-08,2021-09-11,2021-09-09,Valid,SHK_005,8646892910
B_028,40,2021-03-11,2021-03-14,2021-03-13,Valid,SHK_005,8646892910
B_029,30,2021-03-30,2021-04-02,2021-04-03,Invalid,SHK_002,9579531991
B_030,75,2021-02-01,2021-02-04,2021-02-01,Valid,SHK_002,9579531991
B_031,55,2021-12-12,2021-12-15,2021-12-12,Valid,SHK_003,7243413566
B_032,100,2021-06-24,2021-06-27,2021-06-24,Valid,SHK_003,7243413566
B_033,40,2021-03-19,2021-03-22,2021-03-19,Valid,SHK_006,8565854116
B_034,30,2021-10-10,2021-10-13,2021-10-11,Valid,SHK_006,8565854116
B_035,35,2021-08-28,2021-08-31,2021-08-28,Valid,SHK_001,6107074114
B_036,10,2021-10-04,2021-10-07,2021-10-08,Invalid,SHK_001,6107074114
B_037,30,2021-01-29,2021-02-01,2021-01-29,Valid,SHK_004,3740546453
B_038,140,2021-05-17,2021-05-20,2021-05-17,Valid,SHK_004,3740546453
B_039,70,2021-09-25,2021-09-28,2021-09-28,Valid,SHK_002,1637382417
B_040,75,2021-12-10,2021-12-13,2021-12-10,Valid,SHK_002,1637382417
B_041,115,2021-06-12,2021-06-15,2021-06-14,Valid,SHK_006,8808967440
B_042,160,2021-07-12,2021-07-15,2021-07-12,Valid,SHK_006,8808967440
B_043,10,2021-03-02,2021-03-05,2021-03-03,Valid,SHK_002,2624574553
B_044,30,2021-02-24,2021-02-27,2021-02-28,Invalid,SHK_002,2624574553
B_045,25,2021-02-07,2021-02-10,2021-02-09,Valid,SHK_005,8945871085
B_046,30,2021-09-20,2021-09-23,2021-09-23,Valid,SHK_005,8945871085
B_047,75,2021-01-28,2021-01-31,2021-01-28,Valid,SHK_004,4693726418
B_048,25,2021-06-14,2021-06-17,2021-06-17,Valid,SHK_004,4693726418
