3453484810,Aashvi,1980-01-01,F,NULL,Wife
3453484810,Arjun,2000-01-01,M,NULL,Son
6815974590,Lakshmi ,1981-02-02,F,NULL,Wife
6815974590,Aum,2000-07-02,M,NULL,Son
5483807477,Meera,2001-01-03,F,NULL,Daughter
5483807477,Ishan,1982-03-03,M,NULL,Husband
9187065308,Saanvi,2001-07-04,F,NULL,Daughter
9187065308,Krish,1983-04-04,M,NULL,Husband
1700494946,Sarika,1984-05-05,F,NULL,Wife
1700494946,Moksh,2003-07-08,M,NULL,Son
4478160351,Shyla,2006-01-13,F,NULL,Daughter
4478160351,Rishi,1985-06-06,M,NULL,Husband
6977990400,Sita,2002-01-05,F,NULL,Daughter
6977990400,Veer,1986-07-07,M,NULL,Husband
7575833003,Uma,1987-08-08,F,NULL,Wife
7575833003,Laksh,2006-01-13,M,NULL,Son
8727666988,Aarya,1988-09-09,F,NULL,Wife
8727666988,Moksh,2011-07-24,M,NULL,Son
2192227997,Divya,2011-01-23,F,NULL,Daughter
2192227997,Sajan,1989-10-10,M,NULL,Husband
8979106724,Jaya,2010-01-21,F,NULL,Daughter
8979106724,Samay,1990-11-11,M,NULL,Husband
6597759624,Lavanya,1991-12-12,F,NULL,Wife
6597759624,Siddh,2009-07-20,M,NULL,Son
6283738531,Kimaya,1985-01-11,F,NULL,Wife
6283738531,Ari,2009-01-19,M,NULL,Son
8646892910,Saumya,1985-07-12,F,NULL,Wife
8646892910,Dev,2008-07-18,M,NULL,Son
9579531991,Satya,2007-01-15,F,NULL,Daughter
9579531991,Jaiden,1986-01-13,M,NULL,Husband
7243413566,Zoya,2008-01-17,F,NULL,Daughter
7243413566,Jay,1986-07-14,M,NULL,Husband
8565854116,Aadhavi,2007-01-15,F,NULL,Daughter
8565854116,Kalpen,1987-01-15,M,NULL,Husband
6107074114,Aanya,2003-01-07,F,NULL,Daughter
6107074114,Sai,1987-07-16,M,NULL,Husband
3740546453,Aarya,1988-01-17,F,NULL,Wife
3740546453,Zayn,2003-07-08,M,NULL,Son
1637382417,Aashvi,2004-01-09,F,NULL,Daughter
1637382417,Aaditya,1988-07-18,M,NULL,Husband
8808967440,Alani,2008-07-18,F,NULL,Daughter
8808967440,Aarav,1989-01-19,M,NULL,Husband
2624574553,Amara,1989-07-20,F,NULL,Wife
2624574553,Ajay,2007-01-15,M,NULL,Son
8945871085,Amulya,1990-01-21,F,NULL,Wife
8945871085,Akash,2008-07-18,M,NULL,Son
4693726418,Aniya,2005-07-12,F,NULL,Daughter
4693726418,Akhil,1991-01-23,M,NULL,Husband
